,0
1273,11.9
1274,12.2
1275,12.2
1276,11.4
1277,11.0
1278,11.0
1279,11.0
1280,11.0
1281,11.4
1282,14.2
1283,12.1
1284,13.4
1285,13.4
1286,14.0
1287,14.0
1288,13.9
1289,13.1
1290,13.0
1291,12.8
1292,13.0
1293,13.0
1294,12.7
1295,12.6
1296,12.3
1297,12.5
1298,12.7
1299,13.9
1300,13.0
1301,13.0
1302,12.6
1303,13.8
1304,13.6
1305,13.9
1306,15.0
1307,15.3
1308,15.3
1309,15.3
1310,15.4
1311,15.3
1312,15.3
1313,15.7
1314,15.4
1315,15.4
1316,16.0
1317,16.4
1318,16.9
1319,17.1
1320,17.1
1321,17.7
1322,17.6
1323,17.6
1324,18.0
1325,18.0
1326,17.8
1327,18.3
1328,17.3
1329,18.0
1330,19.7
1331,18.3
1332,21.1
1333,20.1
1334,17.9
1335,16.0
1336,13.1
1337,15.8
1338,15.9
1339,15.6
1340,15.6
1341,13.2
1342,15.6
1343,15.6
1344,15.2
1345,15.2
1346,15.1
1347,15.2
1348,15.1
1349,15.1
1350,15.0
1351,14.8
1352,15.0
1353,14.9
1354,15.1
1355,15.3
1356,15.9
1357,15.8
1358,13.9
1359,16.1
1360,16.4
1361,16.5
1362,16.0
1363,16.0
1364,16.5
1365,16.5
1366,15.1
1367,15.1
1368,15.1
1369,15.4
1370,15.4
1371,15.5
1372,15.3
1373,15.1
1374,15.1
1375,15.2
1376,15.8
1377,15.9
1378,15.9
1379,17.3
1380,18.0
1381,19.8
1382,21.3
1383,21.4
1384,18.9
1385,17.9
1386,17.3
1387,17.0
1388,17.0
1389,17.8
1390,17.0
1391,17.9
1392,17.3
1393,17.3
1394,17.5
1395,17.5
1396,17.0
1397,17.0
1398,17.0
1399,17.2
1400,17.3
1401,18.3
1402,17.3
1403,19.1
1404,19.0
1405,19.3
1406,20.1
1407,15.1
1408,17.0
1409,16.1
1410,16.3
1411,16.7
1412,17.0
1413,16.8
1414,16.7
1415,17.9
1416,16.8
1417,16.8
1418,17.0
1419,17.3
1420,17.8
1421,17.8
1422,17.7
1423,17.7
1424,19.2
1425,16.3
1426,23.4
1427,20.0
1428,26.5
1429,27.9
1430,28.5
1431,28.5
1432,23.0
1433,19.1
1434,19.9
1435,19.9
1436,19.9
1437,19.7
1438,18.3
1439,17.5
1440,17.0
1441,17.0
1442,17.0
1443,17.0
1444,17.0
1445,17.5
1446,17.3
1447,18.6
1448,19.0
1449,21.0
1450,23.0
1451,24.7
1452,24.7
1453,25.6
1454,23.3
1455,19.3
1456,18.1
1457,18.6
1458,18.7
1459,19.0
1460,19.5
1461,19.6
1462,18.4
1463,18.4
1464,18.2
1465,18.2
1466,16.6
1467,16.3
1468,16.1
1469,15.8
1470,15.6
1471,16.3
1472,16.3
1473,17.2
1474,18.1
1475,18.4
1476,19.6
1477,18.8
1478,17.2
1479,17.6
1480,18.1
1481,17.2
1482,17.0
1483,16.2
1484,16.7
1485,16.9
1486,16.8
1487,17.0
1488,16.8
1489,17.0
1490,17.0
1491,17.0
1492,17.0
1493,16.8
1494,16.2
1495,16.5
1496,15.1
1497,18.0
1498,18.5
1499,19.2
1500,19.2
1501,17.4
1502,18.4
1503,18.1
1504,16.3
1505,16.0
1506,15.3
1507,15.2
1508,15.5
1509,14.9
1510,14.9
1511,15.0
1512,17.1
1513,14.7
1514,14.6
1515,14.3
1516,15.0
1517,14.3
1518,14.0
1519,14.0
1520,14.0
1521,14.0
1522,14.1
1523,14.9
1524,15.0
1525,14.9
1526,14.0
1527,15.0
1528,14.8
1529,15.0
1530,14.0
1531,15.0
1532,14.0
1533,14.0
1534,14.1
1535,14.2
1536,14.9
1537,14.7
1538,14.9
1539,14.9
1540,15.1
1541,15.1
1542,15.3
1543,15.3
1544,16.1
1545,20.0
1546,20.0
1547,20.0
1548,24.1
1549,25.0
1550,27.3
1551,25.0
1552,23.8
1553,22.5
1554,22.1
1555,22.1
1556,20.9
1557,20.1
1558,18.6
1559,17.9
1560,17.7
1561,17.0
1562,17.0
1563,17.1
1564,17.1
1565,17.0
1566,17.0
1567,17.1
1568,17.0
1569,17.2
1570,18.9
1571,21.6
1572,25.3
1573,25.3
1574,21.2
1575,21.9
1576,19.8
1577,19.1
1578,19.0
1579,19.4
