,A0
1721,5416.33
1722,15780.5
1723,20008.6
1724,8242.24
1725,9879.98
1726,6986.23
1727,26228.3
1728,22418.3
1729,21208.4
1730,11913.1
1731,6212.74
1732,28761.6
1733,15118.2
1734,8779.83
1735,2062.1
1736,6051.48
1737,14025.3
1738,16566.0
1739,7138.3
1740,12752.2
1741,5014.7
1742,18281.2
1743,31072.2
1744,18589.0
1745,19718.5
1746,5356.4
1747,23010.9
1748,24312.7
1749,1290.52
1750,16644.9
1751,6176.29
1752,26831.6
1753,25866.6
1754,33506.3
1755,9085.44
1756,29250.6
1757,20778.8
1758,978.52
1759,26053.5
1760,32313.9
1761,20028.4
1762,17540.8
1763,28685.1
1764,17238.6
1765,24981.5
1766,3250.92
1767,18973.9
1768,7531.38
1769,8046.12
1770,2871.6
1771,18287.0
1772,29469.5
1773,12170.6
1774,29610.5
1775,16901.1
1776,15877.8
1777,16193.7
1778,27851.7
1779,13305.7
1780,5655.08
1781,33553.7
1782,6410.8
1783,4608.44
1784,23634.6
1785,7153.55
1786,15192.5
1787,24932.2
1788,23239.1
1789,30055.4
1790,32549.9
1791,26432.5
1792,4882.25
1793,27679.7
1794,31967.9
1795,16981.2
1796,8118.44
1797,13606.8
1798,19399.5
1799,9526.61
1800,26685.2
1801,19499.2
1802,7982.04
1803,17943.1
1804,19515.8
1805,20272.9
1806,34523.7
1807,30705.6
1808,29532.8
1809,2776.74
1810,27751.3
1811,29475.6
1812,31592.6
1813,11183.0
1814,19374.9
1815,31716.4
1816,2900.15
1817,13738.9
1818,19251.5
1819,14681.1
1820,4462.42
1821,27908.4
1822,5779.7
1823,8382.69
1824,32922.2
1825,24280.3
1826,13794.5
1827,11085.9
1828,1433.81
1829,30627.4
1830,14845.4
1831,9203.76
1832,13533.9
1833,17063.4
1834,5086.09
1835,31374.9
1836,36094.4
1837,22103.1
1838,15702.4
1839,27224.1
1840,24184.5
1841,34554.2
1842,32399.7
1843,13815.6
1844,9640.79
1845,16772.4
1846,32017.1
1847,32790.4
1848,18158.9
1849,20844.7
1850,5391.79
1851,13445.7
1852,3773.34
1853,15490.1
1854,16817.0
1855,29949.3
1856,20989.2
1857,9033.75
1858,31617.6
1859,30490.9
1860,18891.3
1861,33058.6
1862,11838.7
1863,31379.8
1864,21176.5
1865,16908.5
1866,15087.1
1867,33105.0
1868,13903.0
1869,34373.9
1870,15520.1
1871,7402.77
